step,t_norm,edit_ratio,preserve_weight_mean,high_preserve_area_ratio,attention_js_ref_vs_pred,consistency_score_mean,release_score_mean,trust_score_mean
1,1.0,,,,0.10026784241199493,,,
2,0.9942627563476563,,,,0.10723894089460373,,,
3,0.9881572265625,,,,0.1272863894701004,,,
4,0.9816470336914063,,,,0.13448406755924225,,,
5,0.9746904296875,,,,0.13425296545028687,,,
6,0.9672398681640625,,,,0.13595445454120636,,,
7,0.9592407836914062,0.7318382263183594,0.2681617736816406,0.0,0.06830644607543945,,,
8,0.9506303100585938,0.7318382263183594,0.2681617736816406,0.0,0.06498168408870697,,,
9,0.9413356323242188,0.7318382263183594,0.2681617736816406,0.0,0.061298999935388565,,,
10,0.931271728515625,0.7318382263183594,0.2681617736816406,0.0,0.05884474143385887,,,
11,0.920339111328125,0.7318382263183594,0.2681617736816406,0.0,0.05500006675720215,,,
12,0.9084200439453125,0.7318382263183594,0.2681617736816406,0.0,0.05166475102305412,,,
13,0.8953748168945312,0.7318382263183594,0.2681617736816406,0.0,0.0496029406785965,,,
14,0.8810360107421875,0.7318382263183594,0.2681617736816406,0.0,0.047656215727329254,,,
15,0.865200927734375,0.7318382263183594,0.2681617736816406,0.0,0.04641912877559662,,,
16,0.8476226196289063,0.7318382263183594,0.2681617736816406,0.0,0.0451946035027504,,,
17,0.82799658203125,0.7318382263183594,0.2681617736816406,0.0,0.04405120760202408,,,
18,0.8059425659179688,0.7318382263183594,0.2681617736816406,0.0,0.04331160709261894,,,
19,0.7809805908203125,0.7318382263183594,0.2681617736816406,0.0,0.04176854342222214,,,
20,0.7524947509765625,0.7318382263183594,0.2681617736816406,0.0,0.041612036526203156,,,
21,0.7196821899414062,0.7318382263183594,0.2681617736816406,0.0,0.040648266673088074,,,
22,0.6814762573242188,0.7318382263183594,0.2681617736816406,0.0,0.040523961186409,,,
23,0.6364279174804688,0.7318382263183594,0.2681617736816406,0.0,0.0396997407078743,,,
24,0.5825183715820312,0.7318382263183594,0.2681617736816406,0.0,0.0395260825753212,,,
25,0.516847900390625,0.7318382263183594,0.2681617736816406,0.0,0.03894945979118347,,,
26,0.4350965270996094,0.7318382263183594,0.2681617736816406,0.0,0.03786758333444595,,,
27,0.3305335693359375,0.7318382263183594,0.2681617736816406,0.0,0.03738175332546234,,,
28,0.19206304931640625,0.7318382263183594,0.2681617736816406,0.0,0.037258878350257874,,,
